Designator,Mid X,Mid Y,Rotation,Layer
A1,336.75,-75.165,0.0,top
C1,312.75,-64.065113,90.0,top
C2,260.5,-64.065113,90.0,top
C3,235.25,-64.065112,90.0,top
C4,291.0,-63.11,180.0,top
C5,285.455113,-63.11,180.0,top
C6,210.25,-63.86,90.0,top
C7,185.25,-63.815113,90.0,top
D1,176.0,-59.0,90.0,top
D10,166.19,-87.0,0.0,bottom
D100,199.0,-168.0,0.0,bottom
D101,218.0,-168.0,0.0,bottom
D102,237.0,-168.0,0.0,bottom
D103,256.0,-168.0,0.0,bottom
D104,282.0,-168.0,0.0,bottom
D105,318.0,-173.0,0.0,bottom
D106,44.0,-187.0,0.0,bottom
D107,41.0,-59.0,180.0,bottom
D108,39.0,-92.0,180.0,bottom
D11,185.19,-87.0,0.0,bottom
D110,68.0,-187.0,0.0,bottom
D111,91.81,-187.0,0.0,bottom
D112,163.19,-187.0,0.0,bottom
D113,232.0,-187.0,0.0,bottom
D114,251.0,-187.0,0.0,bottom
D115,270.0,-187.0,0.0,bottom
D116,299.0,-192.0,0.0,bottom
D117,318.0,-192.0,0.0,bottom
D118,337.0,-192.0,0.0,bottom
D12,204.19,-87.0,0.0,bottom
D13,228.0,-87.0,0.0,bottom
D14,161.0,-59.0,90.0,top
D15,361.2,-57.0,90.0,bottom
D17,247.19,-87.0,0.0,bottom
D18,266.19,-87.0,0.0,bottom
D19,285.19,-87.0,0.0,bottom
D2,361.25,-57.0,0.0,top
D20,308.19,-87.0,0.0,bottom
D21,99.19,-111.0,0.0,bottom
D22,299.19,-111.0,0.0,bottom
D23,42.19,-111.0,0.0,bottom
D24,61.19,-111.0,0.0,bottom
D25,80.19,-111.0,0.0,bottom
D26,363.655,-66.1925,0.0,bottom
D27,146.0,-59.0,90.0,top
D28,364.55,-113.0,180.0,bottom
D30,313.94,-56.0,0.0,bottom
D31,118.19,-111.0,0.0,bottom
D32,137.19,-111.0,0.0,bottom
D33,156.19,-111.0,0.0,bottom
D34,175.19,-111.0,0.0,bottom
D35,194.19,-111.0,0.0,bottom
D36,213.19,-111.0,0.0,bottom
D37,232.19,-111.0,0.0,bottom
D38,251.19,-111.0,0.0,bottom
D39,270.0,-111.0,0.0,bottom
D4,42.19,-87.0,0.0,bottom
D40,363.655,-85.1925,0.0,bottom
D41,131.0,-59.0,90.0,top
D42,364.0,-144.0,180.0,bottom
D44,116.0,-59.0,90.0,top
D45,361.55,-184.4,180.0,bottom
D47,46.81,-130.0,0.0,bottom
D48,71.0,-130.0,0.0,bottom
D49,90.0,-130.0,0.0,bottom
D5,66.19,-87.0,0.0,bottom
D50,109.0,-130.0,0.0,bottom
D51,127.81,-130.0,0.0,bottom
D52,147.0,-130.0,0.0,bottom
D53,166.0,-130.0,0.0,bottom
D54,185.0,-130.0,0.0,bottom
D55,204.0,-130.0,0.0,bottom
D56,101.0,-59.0,90.0,top
D57,285.0,-187.6,180.0,bottom
D59,223.0,-130.0,0.0,bottom
D6,85.19,-87.0,0.0,bottom
D60,242.0,-130.0,0.0,bottom
D61,261.0,-130.0,0.0,bottom
D62,280.0,-130.0,0.0,bottom
D63,304.0,-130.0,0.0,bottom
D64,363.0,-126.0,0.0,bottom
D65,344.415,-147.0275,0.0,bottom
D66,49.0,-149.0,0.0,bottom
D67,75.0,-149.0,0.0,bottom
D68,86.0,-59.0,90.0,top
D69,192.0,-187.6,180.0,bottom
D7,104.19,-87.0,0.0,bottom
D71,94.0,-149.0,0.0,bottom
D72,113.0,-149.0,0.0,bottom
D73,132.81,-149.0,0.0,bottom
D74,151.0,-149.0,0.0,bottom
D75,170.0,-149.0,0.0,bottom
D76,189.19,-149.0,0.0,bottom
D77,208.0,-149.0,0.0,bottom
D78,227.0,-149.0,0.0,bottom
D79,247.0,-149.0,0.0,bottom
D8,123.19,-87.0,0.0,bottom
D80,71.0,-59.0,90.0,top
D81,134.55,-187.6,180.0,bottom
D83,266.0,-149.0,0.0,bottom
D84,297.0,-149.0,0.0,bottom
D85,363.415,-161.0275,0.0,bottom
D86,344.415,-166.0275,0.0,bottom
D87,54.0,-168.0,0.0,bottom
D88,85.0,-168.0,0.0,bottom
D89,103.81,-168.0,0.0,bottom
D9,147.19,-87.0,0.0,bottom
D90,123.0,-168.0,0.0,bottom
D91,142.0,-168.0,0.0,bottom
D92,56.0,-59.0,90.0,top
D93,56.0,-187.0,180.0,bottom
D95,41.0,-59.0,90.0,top
D96,39.0,-142.0,270.0,bottom
D98,161.19,-168.0,0.0,bottom
D99,180.0,-168.0,0.0,bottom
J1,273.11,-61.155,180.0,top
J2,301.375,-54.0,180.0,top
J3,247.97,-61.155,180.0,top
J4,222.83,-61.155,180.0,top
J5,197.69,-61.155,180.0,top
SW1,41.845,-77.0475,0.0,top
SW10,227.5825,-77.0475,0.0,top
SW11,246.6325,-77.0475,0.0,top
SW12,265.6825,-77.0475,0.0,top
SW13,284.7325,-77.0475,0.0,top
SW14,308.545,-77.0475,0.0,top
SW15,363.5,-75.75,0.0,top
SW16,363.5,-94.8,0.0,top
SW17,41.845,-100.86,0.0,top
SW18,60.895,-100.86,0.0,top
SW19,79.945,-100.86,0.0,top
SW2,65.6575,-77.0475,0.0,top
SW20,98.995,-100.86,0.0,top
SW21,118.045,-100.86,0.0,top
SW22,137.095,-100.86,0.0,top
SW23,156.145,-100.86,0.0,top
SW24,175.195,-100.86,0.0,top
SW25,194.245,-100.86,0.0,top
SW26,213.295,-100.86,0.0,top
SW27,232.345,-100.86,0.0,top
SW28,251.395,-100.86,0.0,top
SW29,270.445,-100.86,0.0,top
SW3,84.7075,-77.0475,0.0,top
SW30,299.02,-100.86,0.0,top
SW31,46.6075,-119.91,0.0,top
SW32,70.42,-119.91,0.0,top
SW33,89.47,-119.91,0.0,top
SW34,108.52,-119.91,0.0,top
SW35,127.57,-119.91,0.0,top
SW36,146.62,-119.91,0.0,top
SW37,165.67,-119.91,0.0,top
SW38,184.72,-119.91,0.0,top
SW39,203.77,-119.91,0.0,top
SW4,103.7575,-77.0475,0.0,top
SW40,222.82,-119.91,0.0,top
SW41,241.87,-119.91,0.0,top
SW42,260.92,-119.91,0.0,top
SW43,279.97,-119.91,0.0,top
SW44,303.7825,-119.91,0.0,top
SW45,363.11,-131.9375,0.0,top
SW46,344.06,-136.7,0.0,top
SW47,48.98875,-138.96,0.0,top
SW48,75.1825,-138.96,0.0,top
SW49,94.2325,-138.96,0.0,top
SW5,122.8075,-77.0475,0.0,top
SW50,113.2825,-138.96,0.0,top
SW51,132.3325,-138.96,0.0,top
SW52,151.3825,-138.96,0.0,top
SW53,170.4325,-138.96,0.0,top
SW54,189.4825,-138.96,0.0,top
SW55,208.5325,-138.96,0.0,top
SW56,227.5825,-138.96,0.0,top
SW57,246.6325,-138.96,0.0,top
SW58,265.6825,-138.96,0.0,top
SW59,296.63875,-138.96,0.0,top
SW6,146.62,-77.0475,0.0,top
SW60,363.11,-150.9875,0.0,top
SW61,344.06,-155.75,0.0,top
SW62,53.75125,-158.01,0.0,top
SW63,84.7075,-158.01,0.0,top
SW64,103.7575,-158.01,0.0,top
SW65,122.8075,-158.01,0.0,top
SW66,141.8575,-158.01,0.0,top
SW67,160.9075,-158.01,0.0,top
SW68,179.9575,-158.01,0.0,top
SW69,199.0075,-158.01,0.0,top
SW7,165.67,-77.0475,0.0,top
SW70,218.0575,-158.01,0.0,top
SW71,237.1075,-158.01,0.0,top
SW72,256.1575,-158.01,0.0,top
SW73,282.35125,-158.01,0.0,top
SW74,318.07,-162.7725,0.0,top
SW75,44.22625,-177.06,0.0,top
SW76,68.03875,-177.06,0.0,top
SW77,91.85125,-177.06,0.0,top
SW78,163.28875,-177.06,0.0,top
SW79,232.345,-177.06,0.0,top
SW8,184.72,-77.0475,0.0,top
SW80,251.395,-177.06,0.0,top
SW81,270.445,-177.06,0.0,top
SW82,299.02,-181.8225,0.0,top
SW83,318.07,-181.8225,0.0,top
SW84,337.12,-181.8225,0.0,top
SW9,203.77,-77.0475,0.0,top
U1,357.505,-113.865,0.0,top
